id,x,y
432_Boudin_Berck,-11.880426,10.369267
433_Vuillard_Grand_nu,-3.6927326,2.4167616
434_Rouault_Cavaliers,-1.4927509,9.190318
435_Beert_Blumenstillleben,-8.631405,0.5985572
436_Macke_Clown,-6.1524324,4.3703294
437_Steen_Zeitungsleser,2.6496775,9.982618
438_Modigliani_Liegender_weiblicher_Akt_um_1918,-3.8879073,4.6283994
439_Ostade_Winterlandschaft,-1.3220671,13.9812355
440_Macke_Kinder,-6.2889233,6.149856
441_Ingres_Hippolyte_Devillers,2.3302577,-1.490977
442_Goya_Maria_Ana_Graefin,1.169306,-0.09883978
443_Soutine_Deux_faisans,-3.9866588,0.22059448
444_Berckheyde_Der_Dam,-3.8270767,15.139544
445_Boucher_Deux_paysannes,2.396042,9.875251
446_Courbet_Portrait_homme,3.0331106,-0.72635466
447_Goya_Prozession,0.62431854,13.064911
448_Ochtervelt_Backgammon,2.3205562,7.6375985
449_Goya_Bildnis,1.4590359,-0.22797589
450_Ruisdael_Waldlandschaft,-3.9879355,13.771778
451_Sisley_Chalands,-13.241382,9.85252
452_Teniers_Raucher,3.1645122,11.153481
453_Picasso_Cupidon,-2.5750258,3.7173712
454_Picasso_Jeu,-1.6055965,7.6367755
455_Picasso_Jeune_fille,-2.7580366,4.3660355
456_Picasso_Nu,-3.17393,4.113177
457_Chavannes_Fantaisie,-0.00028311796,8.0494375
458_Terborch_Besuch,2.4239478,11.4898
459_Patinir_Taufe_Christi_Inv_157,1.1240879,9.270512
460_Bonnard_Femme,-3.4618473,-0.15855668
461_Brouwer_Landschaft,-6.7650037,13.512046
462_Dufy_Courses,-4.3794365,9.345461
463_Ingres_Dr_de_France,2.2509687,-1.5146835
464_Picasso_Barcelone,-11.675635,7.2497444
465_Gaul_Reh,19.113075,2.993802
466_Koninck_Jaegerbursche,3.544585,0.111699134
467_Derain_Eglise,-8.278056,10.633182
468_Picasso_Nu_de_jeune_fille,-4.1201077,4.313565
469_Renoir_Alfred_Sisley,1.6030962,-2.3278024
470_Heckel_Akte_am_Strand,-4.2497377,8.283965
471_Heckel_Blick,-6.6825185,9.330539
472_Heckel_Duenen,-6.394239,9.240928
473_Kandinsky_Aufstieg,-7.0859265,4.830649
474_Kandinsky_Blauer_Reiter,-3.373927,10.428893
475_Kandinsky_Von_Einem,-6.9738564,4.4463973
476_Rubens_Die_Verteidiger,3.972932,10.43484
477_Guardi_Heilige_Familie,2.381667,10.685614
478_Kalf_Nautilusschale,-7.326662,0.5104925
479_Kessel_Flusslandschaft,-3.1856577,14.167464
480_Leyden_Speisung,2.1596956,11.408638
481_Braque_Canephore,-2.3463933,3.25579
